N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"71,500",0,0.00%,100,"4,268,395","5,969,783",56.37,0,19.52,8.69,
2,SK하이닉스,"115,000",0,0.00%,"5,000","837,203","728,002",50.43,0,29.17,4.25,
3,LG화학,"846,000",0,0.00%,"5,000","597,211","70,592",42.62,0,79.04,1.84,
4,삼성바이오로직스,"825,000",0,0.00%,"2,500","545,861","66,165",9.98,0,153.60,4.77,
5,삼성전자우,"65,500",0,0.00%,100,"538,991","822,887",84.60,0,17.89,N/A,
6,셀트리온,"380,000",0,0.00%,"1,000","512,992","134,998",20.54,0,100.72,11.19,
7,NAVER,"294,000",0,0.00%,100,"482,934","164,263",55.96,0,58.53,10.56,
8,현대차,"196,500",0,0.00%,"5,000","419,858","213,668",31.22,0,46.95,4.32,
9,삼성SDI,"551,000",0,0.00%,"5,000","378,893","68,765",43.53,0,187.99,2.94,
10,카카오,"389,500",0,0.00%,500,"343,849","88,280",32.29,0,-432.30,-5.81,
11,기아차,"65,400",0,0.00%,"5,000","265,108","405,363",37.65,0,30.39,6.50,
12,LG생활건강,"1,522,000",0,0.00%,"5,000","237,709","15,618",45.61,0,34.10,20.32,
13,현대모비스,"246,500",0,0.00%,"5,000","234,310","95,055",43.40,0,15.03,7.28,
14,POSCO,"265,500",0,0.00%,"5,000","231,481","87,187",51.01,0,24.32,4.18,
15,삼성물산,"123,500",0,0.00%,100,"230,806","186,887",14.23,0,20.69,4.77,
16,KB금융,"47,200",0,0.00%,"5,000","196,261","415,808",65.91,0,5.76,8.92,
17,SK텔레콤,"239,500",0,0.00%,500,"193,386","80,746",33.94,0,17.64,3.92,
18,엔씨소프트,"867,000",0,0.00%,500,"190,341","21,954",48.34,0,33.93,14.72,
19,신한지주,"34,600",0,0.00%,"5,000","178,718","516,527",57.64,0,4.96,9.09,
20,SK,"239,500",0,0.00%,200,"168,513","70,360",21.69,0,"1,010.55",4.31,
21,SK이노베이션,"177,500",0,0.00%,"5,000","164,126","92,466",23.62,0,-6.75,-0.20,
22,LG전자,"90,500",0,0.00%,"5,000","148,101","163,648",35.75,0,19.66,0.22,
23,삼성생명,"72,800",0,0.00%,500,"145,600","200,000",12.17,0,14.62,3.26,
24,한국전력,"22,100",0,0.00%,"5,000","141,874","641,964",16.79,0,153.47,-3.42,
25,SK바이오팜,"176,500",0,0.00%,500,"138,223","78,313",4.23,0,-160.45,-313.66,
26,삼성에스디에스,"174,500",0,0.00%,500,"135,024","77,378",12.21,0,25.76,11.76,
27,LG,"74,100",0,0.00%,"5,000","127,865","172,557",34.64,0,10.47,5.87,
28,삼성전기,"162,500",0,0.00%,"5,000","121,377","74,694",34.45,0,33.29,10.18,
29,KT&G,"84,600",0,0.00%,"5,000","116,149","137,292",40.64,0,11.80,12.39,
30,아모레퍼시픽,"194,000",0,0.00%,500,"113,409","58,458",31.71,0,311.90,5.36,
31,넷마블,"132,000",0,0.00%,100,"113,314","85,844",22.48,0,53.46,3.54,
32,하나금융지주,"36,550",0,0.00%,"5,000","109,738","300,242",64.73,0,4.47,8.77,
33,신풍제약,"188,500",0,0.00%,500,"99,877","52,985",11.12,0,"5,236.11",0.80,
34,롯데케미칼,"281,000",0,0.00%,"5,000","96,314","34,275",26.77,0,83.06,5.51,
35,삼성화재,"192,000",0,0.00%,500,"90,960","47,375",44.48,0,14.04,4.85,
36,한온시스템,"15,750",0,0.00%,100,"84,074","533,800",20.75,0,59.89,14.98,
37,S-Oil,"70,200",0,0.00%,"2,500","79,033","112,583",74.96,0,-9.41,1.01,
38,고려아연,"398,000",0,0.00%,"5,000","75,103","18,870",23.85,0,13.41,9.76,
39,한국조선해양,"104,500",0,0.00%,"5,000","73,958","70,773",15.88,0,346.03,1.40,
40,우리금융지주,"10,050",0,0.00%,"5,000","72,588","722,268",25.39,0,5.39,N/A,
41,한화솔루션,"45,100",0,0.00%,"5,000","72,099","159,864",18.90,0,-80.25,-4.02,
42,기업은행,"9,590",0,0.00%,"5,000","70,838","738,664",10.35,0,4.90,7.36,
43,현대글로비스,"186,000",0,0.00%,500,"69,750","37,500",35.89,0,10.45,11.25,
44,빅히트,"187,500",0,0.00%,500,"66,795","35,624",3.70,0,N/A,56.47,
45,미래에셋대우,"10,350",0,0.00%,"5,000","66,790","645,316",14.38,0,10.82,7.56,
46,KT,"24,400",0,0.00%,"5,000","63,711","261,112",43.99,0,10.40,4.61,
47,KODEX 200,"36,750",0,0.00%,0,"60,233","163,900",16.88,0,N/A,N/A,
48,포스코케미칼,"98,600",0,0.00%,500,"60,134","60,988",7.55,0,210.23,11.57,
49,LG디스플레이,"16,400",0,0.00%,"5,000","58,682","357,816",22.99,0,-2.39,-22.35,
50,CJ제일제당,"357,000",0,0.00%,"5,000","53,743","15,054",23.54,0,7.41,3.16,
51,코웨이,"71,100",0,0.00%,500,"52,472","73,800",60.59,0,14.69,30.74,
52,LG유플러스,"11,850",0,0.00%,"5,000","51,738","436,611",31.01,0,6.53,6.30,
53,한미사이언스,"77,200",0,0.00%,500,"50,961","66,011",2.11,0,344.64,4.73,
54,현대제철,"37,800",0,0.00%,"5,000","50,442","133,446",19.49,0,-20.48,0.10,
55,강원랜드,"23,550",0,0.00%,500,"50,383","213,940",22.71,0,-26.52,9.16,
56,오리온,"121,000",0,0.00%,500,"47,839","39,536",42.09,0,17.48,14.24,
57,SK케미칼,"392,000",0,0.00%,"5,000","46,026","11,741",16.77,0,17.89,1.51,
58,대한항공,"26,150",0,0.00%,"5,000","45,556","174,210",12.11,0,-5.96,-22.09,
59,한국타이어앤테크놀로지,"36,500",0,0.00%,500,"45,214","123,875",38.06,0,17.56,6.03,
60,한국금융지주,"80,700",0,0.00%,"5,000","44,971","55,726",30.35,0,7.38,18.14,
61,아모레G,"54,400",0,0.00%,500,"44,857","82,458",19.79,0,192.23,4.12,
62,삼성중공업,"7,110",0,0.00%,"5,000","44,793","630,000",14.78,0,-3.59,-21.88,
63,한미약품,"370,000",0,0.00%,"2,500","43,819","11,843",13.81,0,"-3,523.81",7.30,
64,현대중공업지주,"277,000",0,0.00%,"5,000","43,762","15,799",17.49,0,-16.78,2.20,
65,유한양행,"65,100",0,0.00%,"1,000","43,524","66,857",20.79,0,23.98,2.43,
66,이마트,"156,000",0,0.00%,"5,000","43,486","27,876",31.42,0,7.79,2.76,
67,금호석유,"137,500",0,0.00%,"5,000","41,893","30,468",27.81,0,11.77,11.84,
68,HMM,"12,750",0,0.00%,"5,000","41,658","326,726",6.11,0,-41.13,-55.46,
69,녹십자,"355,000",0,0.00%,"5,000","41,487","11,687",19.90,0,95.23,-0.35,
70,현대건설,"36,600",0,0.00%,"5,000","40,756","111,356",19.51,0,17.84,6.30,
71,한진칼,"68,200",0,0.00%,"2,500","40,374","59,200",17.15,0,-11.25,-17.56,
72,LG이노텍,"170,500",0,0.00%,"5,000","40,352","23,667",34.35,0,30.91,4.73,
73,삼성카드,"34,350",0,0.00%,"5,000","39,798","115,859",10.13,0,9.66,5.04,
74,맥쿼리인프라,"10,850",0,0.00%,0,"37,871","349,044",14.48,0,N/A,N/A,
75,두산중공업,"14,900",0,0.00%,"5,000","37,718","253,141",12.55,0,-3.21,-14.73,
76,삼성증권,"42,050",0,0.00%,"5,000","37,551","89,300",25.29,0,7.98,8.15,
77,CJ대한통운,"161,500",0,0.00%,"5,000","36,842","22,812",21.61,0,29.11,1.41,
78,롯데지주,"35,100",0,0.00%,200,"36,823","104,909",11.43,0,-5.14,-5.21,
79,GS,"36,450",0,0.00%,"5,000","33,868","92,915",19.13,0,-39.53,6.26,
80,쌍용양회,"6,700",0,0.00%,"1,000","33,759","503,860",28.29,0,26.91,7.02,
81,현대차2우B,"91,800",0,0.00%,"5,000","33,494","36,485",60.40,0,21.94,N/A,
82,NH투자증권,"11,800",0,0.00%,"5,000","33,206","281,409",14.60,0,5.73,9.12,
83,SKC,"86,600",0,0.00%,"5,000","32,505","37,535",7.94,0,38.44,3.86,
84,키움증권,"144,500",0,0.00%,"5,000","32,125","22,232",24.98,0,6.38,16.97,
85,호텔신라,"81,700",0,0.00%,"5,000","32,066","39,248",20.90,0,-24.80,20.16,
86,동서,"32,000",0,0.00%,500,"31,904","99,700",4.86,0,23.07,10.53,
87,DB손해보험,"44,750",0,0.00%,500,"31,683","70,800",40.53,0,5.70,6.92,
88,에스원,"79,700",0,0.00%,500,"30,285","37,999",54.78,0,20.97,11.32,
89,더존비즈온,"100,500",0,0.00%,500,"30,256","30,106",45.36,0,62.46,18.78,
90,대우조선해양,"27,950",0,0.00%,"5,000","29,988","107,291",8.87,0,17.20,-1.22,
91,두산밥캣,"29,900",0,0.00%,500,"29,974","100,249",20.42,0,16.18,7.05,
92,LG화학우,"387,000",0,0.00%,"5,000","29,756","7,689",59.22,0,36.16,N/A,
93,대림산업,"85,200",0,0.00%,"5,000","29,650","34,800",38.56,0,4.51,11.74,
94,롯데쇼핑,"103,000",0,0.00%,"5,000","29,137","28,289",11.54,0,-2.17,-8.14,
95,GS건설,"34,350",0,0.00%,"5,000","27,514","80,098",28.39,0,8.99,11.79,
96,삼성엔지니어링,"13,900",0,0.00%,"5,000","27,244","196,000",26.01,0,10.67,24.62,
97,한국가스공사,"29,150",0,0.00%,"5,000","26,909","92,313",8.79,0,-5.36,0.48,
98,GS리테일,"33,850",0,0.00%,"1,000","26,064","77,000",14.18,0,15.43,6.25,
99,TIGER 200,"36,720",0,0.00%,0,"26,034","70,900",5.67,0,N/A,N/A,
100,휠라홀딩스,"42,450",0,0.00%,"1,000","25,789","60,752",45.69,0,14.31,23.81,
101,만도,"54,600",0,0.00%,"1,000","25,639","46,957",26.22,0,-46.23,7.55,
102,메리츠증권,"3,765",0,0.00%,"1,000","25,450","675,962",12.66,0,4.71,15.06,
103,두산퓨얼셀,"44,200",0,0.00%,100,"24,528","55,494",12.57,0,129.62,N/A,
104,제일기획,"21,100",0,0.00%,200,"24,274","115,041",32.04,0,17.88,15.09,
105,한국항공우주,"24,150",0,0.00%,"5,000","23,540","97,475",14.17,0,17.78,15.84,
106,CJ,"79,600",0,0.00%,"5,000","23,225","29,177",18.97,0,13.22,6.24,
107,신세계,"235,500",0,0.00%,"5,000","23,185","9,845",25.45,0,-7.57,14.24,
108,한샘,"96,400",0,0.00%,"1,000","22,687","23,534",23.13,0,33.85,7.32,
109,팬오션,"4,185",0,0.00%,"1,000","22,372","534,570",11.25,0,16.54,5.49,
110,하이트진로,"31,800",0,0.00%,"5,000","22,302","70,134",10.08,0,30.06,-3.86,
111,BGF리테일,"128,000",0,0.00%,"1,000","22,123","17,284",31.22,0,16.91,26.46,
112,일진머티리얼즈,"47,150",0,0.00%,500,"21,741","46,111",7.88,0,48.91,8.52,
113,LS,"67,200",0,0.00%,"5,000","21,638","32,200",11.75,0,-933.33,0.80,
114,현대차우,"88,100",0,0.00%,"5,000","21,458","24,357",54.51,0,21.05,N/A,
115,KODEX 200선물인버스2X,"2,930",0,0.00%,0,"20,961","715,400",0.48,0,N/A,N/A,
116,현대해상,"23,350",0,0.00%,500,"20,875","89,400",39.49,0,5.73,6.23,
117,씨에스윈드,"120,000",0,0.00%,500,"20,743","17,286",7.98,0,39.62,9.92,
118,오뚜기,"554,000",0,0.00%,"5,000","20,343","3,672",16.25,0,18.72,7.79,
119,KODEX 단기채권,"102,585",0,0.00%,0,"19,762","19,264",3.06,0,N/A,N/A,
120,한화,"26,250",0,0.00%,"5,000","19,677","74,959",19.35,0,10.70,2.09,
121,한화생명,"2,255",0,0.00%,"5,000","19,585","868,530",7.85,0,8.57,0.51,
122,한올바이오파마,"37,400",0,0.00%,500,"19,538","52,241",7.03,0,99.20,14.90,
123,현대미포조선,"48,700",0,0.00%,"5,000","19,452","39,942",12.45,0,41.91,2.31,
124,현대오토에버,"92,200",0,0.00%,500,"19,362","21,000",1.81,0,33.69,11.71,
125,종근당,"177,500",0,0.00%,"2,500","19,322","10,886",13.94,0,20.06,11.94,
126,BNK금융지주,"5,890",0,0.00%,"5,000","19,198","325,935",40.16,0,4.00,7.07,
127,메리츠화재,"15,000",0,0.00%,500,"18,094","120,625",10.35,0,4.40,12.80,
128,한솔케미칼,"159,500",0,0.00%,"5,000","18,016","11,295",35.79,0,15.35,20.88,
129,두산인프라코어,"8,280",0,0.00%,"5,000","17,878","215,912",4.68,0,10.68,11.59,
130,대웅,"30,500",0,0.00%,500,"17,733","58,142",6.94,0,35.14,10.43,
131,농심,"289,000",0,0.00%,"5,000","17,579","6,083",18.42,0,12.97,3.72,
132,현대백화점,"74,600",0,0.00%,"5,000","17,458","23,402",14.29,0,15.28,4.64,
133,포스코인터내셔널,"14,050",0,0.00%,"5,000","17,334","123,375",13.57,0,7.75,7.06,
134,효성,"81,100",0,0.00%,"5,000","17,089","21,071",5.62,0,-38.02,4.25,
135,현대로템,"15,600",0,0.00%,"5,000","17,026","109,142",3.90,0,-8.86,-37.93,
136,대우건설,"4,070",0,0.00%,"5,000","16,916","415,623",8.48,0,8.79,8.80,
137,OCI,"70,400",0,0.00%,"5,000","16,790","23,849",17.96,0,-2.27,-26.20,
138,녹십자홀딩스,"35,550",0,0.00%,500,"16,719","47,028",6.02,0,33.60,0.37,
139,현대엘리베이,"40,350",0,0.00%,"5,000","16,469","40,815",25.19,0,18.07,5.22,
140,LS ELECTRIC,"54,200",0,0.00%,"5,000","16,260","30,000",14.03,0,20.89,7.82,
141,KODEX 레버리지,"20,455",0,0.00%,0,"16,119","78,800",5.34,0,N/A,N/A,
142,부광약품,"24,500",0,0.00%,500,"15,885","64,838",5.98,0,"12,250.00",-2.00,
143,대한유화,"243,000",0,0.00%,"5,000","15,795","6,500",15.85,0,17.79,6.11,
144,두산솔루스,"51,200",0,0.00%,100,"15,662","30,590",8.73,0,147.98,N/A,
145,DB하이텍,"34,950",0,0.00%,"5,000","15,517","44,399",27.76,0,9.43,17.40,
146,롯데정밀화학,"59,300",0,0.00%,"5,000","15,299","25,800",23.35,0,8.94,11.73,
147,KCC,"171,500",0,0.00%,"5,000","15,240","8,886",11.56,0,-544.44,-4.37,
148,아이에스동서,"49,200",0,0.00%,500,"15,199","30,893",5.44,0,11.86,6.10,
149,지누스,"104,000",0,0.00%,500,"14,983","14,407",22.54,0,20.99,26.32,
150,한국테크놀로지그룹,"15,900",0,0.00%,500,"14,790","93,020",6.58,0,13.27,4.71,
151,KODEX 종합채권(AA-이상)액티브,"110,145",0,0.00%,0,"14,612","13,266",0.00,0,N/A,N/A,
152,HDC현대산업개발,"22,100",0,0.00%,"5,000","14,566","65,907",8.74,0,5.48,20.30,
153,LG생활건강우,"693,000",0,0.00%,"5,000","14,551","2,100",84.39,0,15.53,N/A,
154,영진약품,"7,900",0,0.00%,500,"14,449","182,893",4.36,0,"-1,975.00",4.43,
155,KODEX 삼성그룹,"9,010",0,0.00%,0,"14,416","160,000",2.65,0,N/A,N/A,
156,NHN,"72,100",0,0.00%,500,"14,106","19,565",11.29,0,48.03,0.78,
157,현대위아,"51,000",0,0.00%,"5,000","13,869","27,195",11.93,0,11.02,1.80,
158,영원무역,"31,200",0,0.00%,500,"13,825","44,311",23.12,0,8.44,9.82,
159,대웅제약,"118,500",0,0.00%,"2,500","13,730","11,587",4.88,0,-828.67,4.34,
160,한화에어로스페이스,"26,900",0,0.00%,"5,000","13,619","50,630",16.59,0,18.86,5.45,
161,메리츠금융지주,"10,000",0,0.00%,500,"13,401","134,011",8.15,0,2.88,15.26,
162,한화시스템,"12,150",0,0.00%,"5,000","13,393","110,230",2.36,0,17.21,8.15,
163,한전KPS,"29,300",0,0.00%,200,"13,185","45,000",12.52,0,10.88,14.98,
164,F&F,"85,200",0,0.00%,500,"13,121","15,400",10.53,0,15.06,25.13,
165,파미셀,"21,850",0,0.00%,500,"13,101","59,959",7.22,0,190.00,8.78,
166,KODEX 200TR,"11,805",0,0.00%,0,"12,891","109,200",21.22,0,N/A,N/A,
167,KODEX 코스닥150 레버리지,"14,900",0,0.00%,0,"12,784","85,800",4.98,0,N/A,N/A,
168,DGB금융지주,"7,440",0,0.00%,"5,000","12,584","169,146",46.69,0,3.80,7.31,
169,SK디스커버리,"65,000",0,0.00%,"5,000","12,375","19,038",10.03,0,4.27,11.52,
170,KG동부제철,"12,200",0,0.00%,"5,000","12,201","100,009",0.27,0,14.81,-7.44,
171,롯데관광개발,"17,450",0,0.00%,500,"12,089","69,276",4.76,0,-25.62,-4.77,
172,진원생명과학,"26,850",0,0.00%,"1,000","12,019","44,763",11.54,0,-77.83,-28.50,
173,이노션,"60,000",0,0.00%,500,"12,000","20,000",29.35,0,18.69,9.88,
174,SK네트웍스,"4,835",0,0.00%,"2,500","12,000","248,188",12.03,0,-20.93,-5.85,
175,제일약품,"81,400",0,0.00%,500,"11,970","14,705",3.04,0,-161.19,-5.96,
176,KODEX MSCI Korea TR,"11,875",0,0.00%,0,"11,887","100,100",18.59,0,N/A,N/A,
177,아시아나항공,"5,320",0,0.00%,"5,000","11,876","223,235",4.94,0,-0.46,-90.67,
178,일양약품,"62,000",0,0.00%,"2,500","11,833","19,086",8.23,0,114.60,5.20,
179,TIGER 단기통안채,"100,770",0,0.00%,0,"11,698","11,609",6.27,0,N/A,N/A,
180,신세계인터내셔날,"159,500",0,0.00%,"5,000","11,388","7,140",4.83,0,25.26,12.98,
181,금호타이어,"3,950",0,0.00%,"5,000","11,347","287,260",4.20,0,-11.32,-3.30,
182,대한전선,"1,320",0,0.00%,500,"11,305","856,473",2.00,0,-73.33,-3.99,
183,JB금융지주,"5,580",0,0.00%,"5,000","10,992","196,983",39.25,0,3.18,10.36,
184,코오롱인더,"40,600",0,0.00%,"5,000","10,953","26,979",14.96,0,7.27,1.58,
185,더블유게임즈,"58,000",0,0.00%,500,"10,657","18,375",16.25,0,9.95,18.93,
186,다우기술,"23,350",0,0.00%,500,"10,476","44,867",22.70,0,3.75,14.62,
187,GKL,"16,800",0,0.00%,500,"10,392","61,856",6.12,0,-78.14,12.62,
188,한국콜마,"45,100",0,0.00%,500,"10,319","22,881",25.38,0,32.45,6.39,
189,KBSTAR 200,"36,780",0,0.00%,0,"10,262","27,900",0.33,0,N/A,N/A,
190,SK가스,"109,000",0,0.00%,"5,000","10,061","9,230",8.88,0,2.55,9.85,
191,코리안리,"8,070",0,0.00%,500,"9,714","120,369",27.94,0,6.50,8.04,
192,영풍,"527,000",0,0.00%,"5,000","9,708","1,842",4.71,0,5.24,7.40,
193,휴켐스,"23,500",0,0.00%,"1,000","9,606","40,879",8.78,0,19.93,10.82,
194,KODEX 인버스,"4,595",0,0.00%,0,"9,544","207,700",1.42,0,N/A,N/A,
195,현대홈쇼핑,"79,000",0,0.00%,"5,000","9,480","12,000",26.37,0,10.54,5.03,
196,코스맥스,"93,500",0,0.00%,500,"9,396","10,050",25.27,0,23.14,10.45,
197,보령제약,"19,500",0,0.00%,500,"9,286","47,620",8.43,0,31.97,11.96,
198,롯데칠성,"101,500",0,0.00%,500,"9,110","8,975",12.04,0,-10.41,-11.68,
199,롯데리츠,"5,250",0,0.00%,500,"9,028","171,969",8.33,0,58.33,1.80,
200,동아쏘시오홀딩스,"147,000",0,0.00%,"5,000","9,023","6,138",12.45,0,36.52,2.67,
