created_at,entry_id,field1,field2,field3,field4,field5,field6
2020-11-20 19:40:39 UTC,551435,32,12,1023,227.446838,1,1
2020-11-20 19:41:09 UTC,551436,32,12,1023,227.446838,1,1
2020-11-20 19:41:39 UTC,551437,32,12,1023,227.446838,1,1
2020-11-20 19:42:10 UTC,551438,32,12,1023,9.427714,1,1
2020-11-20 19:42:45 UTC,551439,32,12,1022,9.427714,1,1
2020-11-20 19:43:15 UTC,551440,32,12,1023,9.427714,1,1
2020-11-20 19:43:45 UTC,551441,32,12,1022,9.427714,1,1
2020-11-20 19:44:15 UTC,551442,32,12,1022,9.427714,1,1
2020-11-20 19:44:45 UTC,551443,32,12,1022,9.427714,1,1
2020-11-20 19:45:15 UTC,551444,32,12,1022,9.427714,1,1
2020-11-20 19:45:50 UTC,551445,32,12,1022,97.665154,1,1
2020-11-20 19:46:20 UTC,551446,32,12,1022,97.665154,1,1
2020-11-20 19:46:50 UTC,551447,32,12,1022,97.665154,1,1
2020-11-20 19:47:20 UTC,551448,32,12,1022,97.665154,1,1
2020-11-20 19:47:50 UTC,551449,32,12,1022,97.665154,1,1
2020-11-20 19:48:20 UTC,551450,32,12,1022,97.665154,1,1
2020-11-20 19:48:55 UTC,551451,32,12,1022,97.665154,1,1
2020-11-20 19:49:25 UTC,551452,32,12,1022,97.665154,1,1
2020-11-20 19:49:55 UTC,551453,32,12,1023,97.665154,1,1
2020-11-20 19:50:25 UTC,551454,32,12,1022,97.665154,1,1
2020-11-20 19:50:55 UTC,551455,32,12,1022,97.665154,1,1
2020-11-20 19:51:25 UTC,551456,32,12,1022,97.665154,1,1
2020-11-20 19:52:00 UTC,551457,32,12,1022,97.665154,1,1
2020-11-20 19:52:30 UTC,551458,32,12,1022,97.665154,1,1
2020-11-20 19:53:00 UTC,551459,32,12,1022,97.665154,1,1
2020-11-20 19:53:30 UTC,551460,32,12,1022,97.665154,1,1
2020-11-20 19:54:00 UTC,551461,32,12,1022,97.665154,1,1
2020-11-20 19:54:30 UTC,551462,32,12,1022,97.665154,1,1
2020-11-20 19:55:05 UTC,551463,32,12,1022,97.665154,1,1
2020-11-20 19:55:35 UTC,551464,32,12,1022,97.665154,1,1
2020-11-20 19:56:05 UTC,551465,32,12,1022,97.665154,1,1
2020-11-20 19:56:35 UTC,551466,32,12,1022,97.665154,1,1
2020-11-20 19:57:05 UTC,551467,32,12,1022,97.665154,1,1
2020-11-20 19:57:35 UTC,551468,32,12,1022,97.665154,1,1
2020-11-20 19:58:10 UTC,551469,32,12,1022,97.665154,1,1
2020-11-20 19:58:40 UTC,551470,32,12,1022,97.665154,1,1
2020-11-20 19:59:10 UTC,551471,32,12,1022,97.665154,1,1
